"","node","degree","betweenness","closeness","katz","aggregate_rank"
"1",1,4,66,55,49,32
"2",2,4,45,62,57,31
"3",3,9,22,47,20,9
"4",4,4,57,51,21,16
"5",5,24,72,102,52,66
"6",6,32,41,96,91,71.5
"7",7,4,56,56,59,33.5
"8",8,24,44,40,18,13
"9",9,69,36.5,106,10,49
"10",10,56,81.5,104,15,69
"11",11,42,68,29,88,52.5
"12",12,42,79.5,43,79,64
"13",13,42,59,31,101,57
"14",14,82,76.5,86,110,104
"15",15,32,13,80,19,20
"16",16,24,33,79,42,35
"17",17,9,34,9,7,3
"18",18,9,29,11,11,4
"19",19,15.5,100,60,41,47
"20",20,15.5,100,72,48,60
"21",21,104.5,81.5,107,68,106
"22",22,82,100,105,92,112
"23",23,32,24,35,55,21
"24",24,42,70,39,60,44
"25",25,111.5,100,113,16,101
"26",26,104.5,53,111,14,78.5
"27",27,56,55,94,84,82
"28",28,42,78,95,85,89
"29",29,32,4,14,25,7
"30",30,42,100,24,46,45
"31",31,111.5,100,110,103,115
"32",32,82,42,65,106,86
"33",33,95,83,87,98,107
"34",34,69,73.5,84,100,100
"35",35,95,100,61,66,99
"36",36,95,31,58,47,55
"37",37,56,47,42,95,62
"38",38,42,19,18,107,37
"39",39,95,100,27,4,51
"40",40,95,38,19,5,25
"41",41,82,100,50,114,103
"42",42,69,49,30,111,70
"43",43,15.5,76.5,85,50,52.5
"44",44,15.5,15,26,35,8
"45",45,24,100,75,33,56
"46",46,15.5,32,59,32,18
"47",47,15.5,71,73,44,41
"48",48,24,100,77,34,58.5
"49",49,24,100,89,40,67.5
"50",50,24,100,98,51,75.5
"51",51,15.5,100,93,74,78.5
"52",52,9,16,48,89,29
"53",53,42,65,76,87,74
"54",54,56,63,34,70,50
"55",55,56,60,21,24,28
"56",56,69,62,22,53,42
"57",57,4,7,17,28,1.5
"58",58,1,30,66,78,33.5
"59",59,82,51,83,93,92
"60",60,111.5,100,109,77,114
"61",61,32,23,33,97,36
"62",62,82,73.5,78,80,95
"63",63,32,10,6,8,1.5
"64",64,42,64,46,12,30
"65",65,42,5,15,90,23
"66",66,104.5,100,54,63,98
"67",67,69,27,41,54,38
"68",68,95,35,67,39,61
"69",69,56,100,64,71,84
"70",70,69,100,97,75,102
"71",71,69,6,52,108,58.5
"72",72,82,48,53,109,85
"73",73,56,58,57,96,73
"74",74,42,3,28,86,26
"75",75,95,100,82,6,80
"76",76,82,100,69,22,75.5
"77",77,56,39,37,9,19
"78",78,69,40,38,13,27
"79",79,69,100,23,104,88
"80",80,42,100,16,83,63
"81",81,24,1,1,102,15
"82",82,15.5,14,3,94,14
"83",83,56,43,49,3,22
"84",84,69,17,7,105,40
"85",85,82,11,5,99,39
"86",86,111.5,100,74,82,110
"87",87,95,100,63,2,71.5
"88",88,104.5,100,90,1,87
"89",89,32,12,4,17,5
"90",90,9,2,2,61,6
"91",91,56,18,20,43,17
"92",92,56,8,8,30,10
"93",93,56,61,13,26,24
"94",94,24,9,12,67,11
"95",95,82,100,101,29,94
"96",96,95,100,103,23,96.5
"97",97,56,50,91,56,67.5
"98",98,56,46,71,72,65
"99",99,42,21,70,81,46
"100",100,82,25,25,76,43
"101",101,95,100,68,58,96.5
"102",102,115.5,100,115.5,36.5,117
"103",103,82,67,88,73,93
"104",104,82,26,44,69,48
"105",105,104.5,36.5,99,116,105
"106",106,104.5,28,45,113,83
"107",107,111.5,100,108,45,108
"108",108,82,53,81,64,77
"109",109,115.5,100,115.5,36.5,117
"110",110,69,79.5,100,38,81
"111",111,82,69,92,65,91
"112",112,104.5,100,36,62,90
"113",113,56,20,10,31,12
"114",114,95,75,32,27,54
"115",115,104.5,53,112,115,113
"116",116,111.5,100,114,112,116
