"","node","degree","betweenness","closeness","katz","aggregate_rank"
"1",1,2.5,51,35,29,6
"2",2,2.5,27,43,34,3
"3",3,10,34,77,18,16
"4",4,10,63,73,47,43
"5",5,40,83,100,50,82
"6",6,27,43,76,66,54
"7",7,5,31,56,8,1
"8",8,7,65,50,10,10.5
"9",9,86.5,48,74,30,69
"10",10,27,26,82,21,23.5
"11",11,96.5,102,94,89,110
"12",12,13.5,5,27,76,7
"13",13,40,36,41,91,51
"14",14,53.5,70.5,83,80,86
"15",15,86.5,42,57,45,64
"16",16,13.5,7,30,86,14
"17",17,69.5,33,49,24,30
"18",18,69.5,60.5,55,43,63
"19",19,5,32,52,83,27
"20",20,5,62,48,11,9
"21",21,86.5,102,105,44,102
"22",22,86.5,86,99,48,94
"23",23,18,80,75,7,33.5
"24",24,10,39,69,79,45
"25",25,112.5,102,114,2,99
"26",26,104,37,101,1,72
"27",27,40,19,70,65,44
"28",28,53.5,102,97,84,101
"29",29,40,46,59,36,36
"30",30,13.5,8,25,88,12
"31",31,86.5,102,89,95,109
"32",32,53.5,52.5,67,90,81
"33",33,8,14,28,98,21
"34",34,1,17,37,70,8
"35",35,40,20,32,97,41
"36",36,96.5,102,72,94,108
"37",37,86.5,102,109,17,92
"38",38,96.5,102,111,13,96
"39",39,104,102,115,106,115
"40",40,104,102,112,107,114
"41",41,69.5,70.5,110,64,91
"42",42,69.5,41,103,67,84
"43",43,40,74.5,93,99,89
"44",44,40,72,88,93,87
"45",45,18,29,45,14,2
"46",46,27,47,79,9,26
"47",47,18,16,38,103,29
"48",48,69.5,102,86,101,107
"49",49,27,102,85,6,56
"50",50,27,35,65,5,10.5
"51",51,53.5,50,64,60,62
"52",52,53.5,55,95,37,71
"53",53,69.5,81,91,104,103
"54",54,69.5,13,44,110,68
"55",55,27,4,24,85,17
"56",56,69.5,69,84,12,66
"57",57,27,52.5,46,72,46
"58",58,27,49,58,46,33.5
"59",59,69.5,45,47,62,59
"60",60,53.5,23,29,33,15
"61",61,27,10,23,87,20
"62",62,86.5,25,39,51,47
"63",63,86.5,30,33,31,35
"64",64,40,3,21,82,19
"65",65,104,102,96,52,105
"66",66,69.5,18,61,57,50
"67",67,40,22,36,75,28
"68",68,27,12,26,71,13
"69",69,27,102,80,25,65
"70",70,18,79,63,26,40
"71",71,86.5,73,62,35,78.5
"72",72,69.5,66,71,39,74
"73",73,69.5,58,81,40,76.5
"74",74,13.5,1,20,77,4
"75",75,86.5,83,90,49,90
"76",76,69.5,54,66,56,74
"77",77,86.5,59,78,63,85
"78",78,40,24,31,61,23.5
"79",79,53.5,40,40,28,25
"80",80,69.5,102,34,55,80
"81",81,40,9,54,42,18
"82",82,18,2,22,74,5
"83",83,53.5,6,87,58,49
"84",84,86.5,21,42,27,31.5
"85",85,104,44,51,23,57
"86",86,104,77.5,104,41,98
"87",87,104,38,113,102,106
"88",88,53.5,15,102,105,83
"89",89,69.5,56.5,53,4,37
"90",90,86.5,77.5,68,3,67
"91",91,53.5,102,12,78,74
"92",92,53.5,64,9,59,39
"93",93,86.5,102,16,22,60.5
"94",94,104,102,18,16,70
"95",95,53.5,67.5,13,20,22
"96",96,69.5,86,15,32,48
"97",97,53.5,102,14,53,58
"98",98,40,74.5,8,68,42
"99",99,27,56.5,5,96,38
"100",100,53.5,67.5,6,92,55
"101",101,104,102,107,111,113
"102",102,112.5,102,98,100,112
"103",103,27,11,60,112,53
"104",104,112.5,102,106,108,116
"105",105,104,102,3,116,97
"106",106,104,102,2,114,95
"107",107,112.5,102,108,81,111
"108",108,86.5,28,92,109,93
"109",109,112.5,102,19,15,76.5
"110",110,69.5,102,17,38,60.5
"111",111,40,60.5,7,69,31.5
"112",112,86.5,86,11,73,78.5
"113",113,69.5,76,10,54,52
"114",114,112.5,102,4,113,100
"115",115,96.5,83,1,115,88
"116",116,116,102,116,19,117
