"","node","degree","betweenness","closeness","katz","aggregate_rank"
"1",1,3.5,33,19,43,6
"2",2,1,1,9,91,7
"3",3,16,99,29,56,48
"4",4,10,50,32,73,22.5
"5",5,42.5,11,85,27,24
"6",6,69.5,53,86,113,99
"7",7,10,54,28,88,32
"8",8,3.5,35,14,109,19
"9",9,104,74,112,7,89
"10",10,93.5,79,111,28,95
"11",11,82,48,60,37,58
"12",12,54.5,38,20,71,35
"13",13,42.5,68.5,64,98,78
"14",14,93.5,99,99,70,110
"15",15,104,40.5,106,3,68
"16",16,112,99,115,4,101
"17",17,34.5,43,37,90,50
"18",18,34.5,15,22,95,25
"19",19,6.5,36,15,22,3
"20",20,5,67,46,26,11
"21",21,112,99,108,52,111
"22",22,69.5,29.5,69,110,79
"23",23,25,62,74,79,63
"24",24,25,44,42,89,48
"25",25,112,99,114,2,100
"26",26,93.5,28,105,1,59.5
"27",27,82,99,98,116,115
"28",28,69.5,4,26,115,53
"29",29,34.5,16,48,92,39
"30",30,82,99,96,106,113
"31",31,93.5,74,76,39,82
"32",32,93.5,74,95,36,91
"33",33,82,59,67,103,94
"34",34,54.5,34,35,111,61.5
"35",35,69.5,31,44,24,26
"36",36,69.5,29.5,51,45,42
"37",37,42.5,20,62,100,56.5
"38",38,69.5,61,63,94,86
"39",39,69.5,52,88,99,93
"40",40,54.5,13,27,93,38
"41",41,93.5,99,93,57,107
"42",42,82,99,82,80,108
"43",43,25,99,84,41,67
"44",44,25,45,70,31,28
"45",45,25,99,89,46,71.5
"46",46,25,99,100,48,76.5
"47",47,16,79,72,38,51
"48",48,16,65,75,44,48
"49",49,10,18,21,85,8
"50",50,16,99,54,87,70
"51",51,25,99,97,51,76.5
"52",52,6.5,21,53,60,9
"53",53,54.5,24,43,49,27
"54",54,69.5,64,94,61,87
"55",55,54.5,60,77,78,75
"56",56,25,46,61,65,44
"57",57,2,3,11,47,1.5
"58",58,10,37,33,83,20
"59",59,25,14,12,107,17
"60",60,25,2,8,114,14
"61",61,93.5,99,73,14,80.5
"62",62,54.5,57,25,21,16
"63",63,54.5,12,24,6,5
"64",64,82,55,23,5,22.5
"65",65,104,99,91,8,92
"66",66,93.5,47,45,10,43
"67",67,82,25,40,112,71.5
"68",68,34.5,7,10,97,13
"69",69,10,74,50,11,12
"70",70,34.5,99,56,9,45.5
"71",71,112,99,113,17,106
"72",72,104,40.5,104,18,74
"73",73,54.5,99,90,76,98
"74",74,54.5,26,83,54,55
"75",75,82,99,102,50,102.5
"76",76,54.5,99,80,64,90
"77",77,34.5,32,66,53,37
"78",78,16,17,52,74,18
"79",79,82,68.5,68,72,88
"80",80,93.5,99,101,40,104
"81",81,54.5,63,87,81,84
"82",82,82,23,55,34,40
"83",83,112,99,103,19,102.5
"84",84,93.5,27,58,20,45.5
"85",85,112,99,110,13,105
"86",86,104,40.5,78,12,61.5
"87",87,104,99,107,62,112
"88",88,42.5,10,47,84,35
"89",89,34.5,5,13,32,4
"90",90,42.5,22,39,68,29
"91",91,69.5,70,57,58,69
"92",92,82,56,92,86,97
"93",93,54.5,79,36,96,73
"94",94,16,19,38,105,31
"95",95,54.5,79,2,59,41
"96",96,54.5,71,1,55,33
"97",97,54.5,99,5,69,59.5
"98",98,69.5,99,7,66,64.5
"99",99,104,99,109,108,116
"100",100,54.5,9,16,104,35
"101",101,16,8,18,101,10
"102",102,42.5,51,49,82,56.5
"103",103,42.5,66,65,75,66
"104",104,69.5,99,41,77,85
"105",105,34.5,58,30,42,21
"106",106,42.5,49,31,33,15
"107",107,69.5,40.5,34,30,30
"108",108,112,99,79,25,96
"109",109,93.5,74,3,35,52
"110",110,69.5,99,6,67,64.5
"111",111,69.5,79,4,63,54
"112",112,104,99,81,102,114
"113",113,104,99,59,23,83
"114",114,25,6,17,15,1.5
"115",115,93.5,99,71,16,80.5
"116",116,116,99,116,29,117
