"","node","degree","betweenness","closeness","katz","aggregate_rank"
"1",1,2,44,35,39,9.5
"2",2,4.5,33,25,106,23
"3",3,14.5,94,46,18,24
"4",4,8.5,71,30,10,8
"5",5,96.5,94,11,59,71
"6",6,50.5,43,6,104,44
"7",7,8.5,54.5,39,40,16
"8",8,4.5,54.5,31,107,39.5
"9",9,96.5,94,9,64,73
"10",10,50.5,42,5,93,31
"11",11,28.5,11,49,22,5
"12",12,14.5,22,43,112,32.5
"13",13,36,38,54,11,14
"14",14,28.5,40,59,65,35
"15",15,96.5,94,16,68,79
"16",16,68,61,13,94,62.5
"17",17,36,12,64,90,42
"18",18,36,51,67,63,53
"19",19,11,94,47,30,30
"20",20,17.5,94,55,38,45.5
"21",21,107,94,17,47,74
"22",22,50.5,49,8,97,45.5
"23",23,21,58,36,9,11
"24",24,11,50,28,8,3
"25",25,107,94,3.5,5.5,48.5
"26",26,107,94,3.5,5.5,48.5
"27",27,68,94,12,102,80
"28",28,96.5,94,15,95,90
"29",29,83,13,91,105,86
"30",30,83,53,76,103,99
"31",31,107,94,92,23,100.5
"32",32,83,35,60,41,55.5
"33",33,14.5,48,38,100,41
"34",34,6.5,34,27,99,22
"35",35,68,23,56,116,72
"36",36,107,94,89,115,116
"37",37,96.5,94,101,110,115
"38",38,83,94,94,111,114
"39",39,83,94,83,43,92.5
"40",40,50.5,8,66,50,26
"41",41,50.5,32,86,101,76
"42",42,50.5,24,85,109,75
"43",43,28.5,31,84,52,38
"44",44,24,20,79,74,39.5
"45",45,36,94,96,83,97
"46",46,36,66.5,95,81,81
"47",47,50.5,7,61,37,19
"48",48,83,94,87,32,88.5
"49",49,28.5,94,99,70,85
"50",50,36,94,98,44,77
"51",51,36,29,88,24,27.5
"52",52,68,66.5,93,12,65
"53",53,68,94,69,71,91
"54",54,50.5,3,37,75,21
"55",55,28.5,5,45,62,15
"56",56,36,46,65,56,43
"57",57,1,25,32,61,7
"58",58,3,21,24,108,20
"59",59,6.5,4,22,2,1
"60",60,24,59,41,4,12
"61",61,11,6,33,3,2
"62",62,19,41,29,31,9.5
"63",63,50.5,66.5,58,19,36
"64",64,36,66.5,63,69,60.5
"65",65,96.5,94,74,114,113
"66",66,96.5,94,71,113,112
"67",67,17.5,52,44,1,6
"68",68,14.5,19,26,49,4
"69",69,21,60,34,16,13
"70",70,21,70,42,17,18
"71",71,96.5,94,10,34,60.5
"72",72,83,45,7,42,27.5
"73",73,50.5,17,102,82,69
"74",74,50.5,94,110,60,98
"75",75,50.5,27.5,107,51,62.5
"76",76,50.5,94,109,55,96
"77",77,50.5,94,108,53,94
"78",78,68,94,111,48,102
"79",79,83,66.5,20,79,67
"80",80,83,94,19,87,83
"81",81,68,47,14,85,51
"82",82,83,57,18,80,64
"83",83,96.5,94,104,76,111
"84",84,96.5,63,100,78,105
"85",85,107,94,1.5,20,57
"86",86,107,94,1.5,21,58
"87",87,68,94,78,66,95
"88",88,50.5,14.5,77,77,55.5
"89",89,68,39,52,57,52
"90",90,50.5,94,68,73,84
"91",91,83,16,50,46,37
"92",92,50.5,18,51,54,25
"93",93,50.5,9,40,92,32.5
"94",94,68,2,23,86,29
"95",95,83,94,106,33,100.5
"96",96,50.5,66.5,97,45,70
"97",97,28.5,27.5,90,84,59
"98",98,50.5,30,81,89,68
"99",99,68,94,75,96,104
"100",100,68,14.5,73,91,66
"101",101,83,56,53,88,82
"102",102,114,94,114,27,117
"103",103,83,62,57,72,78
"104",104,24,1,21,98,17
"105",105,96.5,36.5,72,7,50
"106",106,83,26,48,35,34
"107",107,114,94,114,27,117
"108",108,114,94,114,27,117
"109",109,114,94,114,27,117
"110",110,68,94,105,36,92.5
"111",111,68,94,103,58,103
"112",112,68,10,62,67,47
"113",113,96.5,36.5,70,15,54
"114",114,107,94,80,14,87
"115",115,114,94,114,27,117
"116",116,107,94,82,13,88.5
